rank,receptor,ligand,receptor_logfc,receptor_padj,receptor_rank_among_receptors,ligand_logfc,ligand_padj,mismatch_score,pathway
1,Itgb1,Spon2,334.47,0.0,3,-208.54,0.0,543.01,Other
2,Itgb1,Lamc1,334.47,0.0,3,-176.72,0.0,511.19,Other
3,Cd44,Lpl,65.3,0.0,40,-440.89,0.0,506.19,Other
4,Sdc1,Lpl,53.42,0.0,50,-440.89,0.0,494.32,Other
5,Itgb1,Vtn,334.47,0.0,3,-120.41,6.644433391825109e-25,454.88,Other
6,Itgb1,Lama2,334.47,0.0,3,-119.32,0.0,453.79,Other
7,Mtnr1a,C3,6.81,0.0002077081737489,266,-434.58,0.0,441.39,Other
8,Itgb1,Angptl2,334.47,0.0,3,-86.68,3.376047256329346e-49,421.15,Other
9,Itgb1,Lamb1,334.47,0.0,3,-75.75,2.2848321839459625e-12,410.22,Other
10,Itgb1,Tgm2,334.47,0.0,3,-65.47,0.0,399.94,Other
11,Itgb1,Col15a1,334.47,0.0,3,-61.72,1.4042821948963063e-68,396.19,Other
12,Itgb1,Col4a4,334.47,0.0,3,-58.58,0.0,393.05,Other
13,Itgb1,Nid1,334.47,0.0,3,-58.13,0.9999344575108172,392.6,Other
14,Itgb1,Lamb2,334.47,0.0,3,-26.32,1.088805954078479e-05,360.79,Other
15,Itgb1,Col4a3,334.47,0.0,3,-24.83,2.2243661695266457e-121,359.3,Other
16,Itgb1,Cd40lg,334.47,0.0,3,-23.84,0.9999344575108172,358.31,Other
17,Itgb1,Jam2,334.47,0.0,3,-21.16,3.4316613521182497e-29,355.63,Other
18,Itgb1,Col6a6,334.47,0.0,3,-20.58,4.0597354457711256e-76,355.05,Other
19,Itgb1,Jam3,334.47,0.0,3,-17.99,4.617805319031971e-77,352.46,Other
20,Itgb1,Lamc2,334.47,0.0,3,-11.44,2.9664651117450787e-16,345.91,Other
21,Itgb1,Cd14,334.47,0.0,3,-10.23,9.33005481645319e-11,344.7,Other
22,Itgb1,Tgfb1,334.47,0.0,3,-6.73,1.906931661343303e-127,341.2,Other
23,Itgb1,Adam15,334.47,0.0,3,-6.47,3.0697509065815005e-157,340.94,Other
24,Itgb1,F13a1,334.47,0.0,3,-4.26,0.5893452165114873,338.73,Other
25,Itgb1,Lamc3,334.47,0.0,3,-3.83,1.755759888540771e-05,338.3,Other
26,Itgb1,Chad,334.47,0.0,3,-3.61,0.9999344575108172,338.08,Other
27,Itgb1,Col19a1,334.47,0.0,3,-3.42,0.9999344575108172,337.89,Other
28,Itgb1,Lamb3,334.47,0.0,3,-3.02,0.3440109349488202,337.49,Other
29,Itgb1,Col4a6,334.47,0.0,3,-2.87,0.6435835921869434,337.34,Other
30,Itgb1,Icam4,334.47,0.0,3,-2.55,0.6248582932068679,337.02,Other
31,Itgb1,Cdh1,334.47,0.0,3,-2.41,0.8564981785505362,336.88,Other
32,Itgb1,Plg,334.47,0.0,3,-1.72,0.9999344575108172,336.19,Other
33,Itgb1,Col20a1,334.47,0.0,3,-1.62,0.9999344575108172,336.09,Other
34,Itgb1,Reln,334.47,0.0,3,-1.61,0.9999344575108172,336.08,Other
35,Itgb1,Col6a5,334.47,0.0,3,-1.61,0.0085987448643522,336.08,Other
36,Itgb1,L1cam,334.47,0.0,3,-1.49,0.9999344575108172,335.96,Other
37,Itgb1,Col17a1,334.47,0.0,3,-1.47,0.9999344575108172,335.94,Other
38,Itgb1,Lama5,334.47,0.0,3,-1.16,0.0735873093086007,335.64,Other
39,Itgb1,Col13a1,334.47,0.0,3,-0.81,0.9999344575108172,335.28,Other
40,Itgb1,Lama3,334.47,0.0,3,-0.61,0.9999344575108172,335.08,Other
41,Itgb1,Plau,334.47,0.0,3,-0.07,0.0415923523155702,334.54,Other
42,Itgb1,Angpt1,334.47,0.0,3,-0.02,2.572906970629661e-76,334.49,Other
43,Itgb5,Ccn1,150.65,0.0,11,-156.37,1.3397951598724683e-235,307.01,Other
44,Egfr,Gstp1,9.12,4.0958356894436235e-295,232,-284.69,0.0,293.81,EGF
45,Itgb5,Vtn,150.65,0.0,11,-120.41,6.644433391825109e-25,271.06,Other
46,Cd44,Timp3,65.3,0.0,40,-165.35,2.6126063333917395e-77,230.65,Other
47,App,Spon1,153.17,0.0,9,-74.07,0.0,227.23,Other
48,Itgav,Lamc1,50.48,0.0,52,-176.72,0.0,227.2,Other
49,Itga5,Spon2,17.47,8.270553119411679e-238,148,-208.54,0.0,226.01,Other
50,Ager,S100a1,0.97,0.0103963860117124,539,-223.59,8.375384938329191e-81,224.56,Other
